abandon,[E5bAndEn],"vt.放弃, 遗弃//n.放任, 狂热"
purchase,[5pE:tFEs],"vt.买, 购买//n.买, 购买"
purge,[pE:dV],"n.净化, 清除, 泻药//v.(使)净化, 清除, 肃清, (使)通便"
purport,[5pE:pEt; -pC:t],n.主旨//v.声称
put off,[],"v.推迟, 拖延, 搪塞, 使分心, 使厌恶, 扔掉, 脱掉, 劝阻"
quaint,[kweint],"adj.离奇有趣的, 奇怪的, 做得很精巧的"
qualified,[5kwClifaid],adj.有资格的
quality,[5kwCliti],"n.质量, 品质, 性质"
quandary,[5kwCndEri],"n.困惑, 窘境, 进退两难"
quantitative,[5kwCntitEtiv],"adj.数量的, 定量的"
quarter,[5kwC:tE],"n.四分之一,方向, 地区, 方面, 季, 季度, 一刻钟//num.四分之一, 刻"
quartz,[kwC:ts],n.石英
queer,[kwiE],"n.同性恋者//adj.奇怪的, 可疑的，不舒服的//vt.搞糟//n.同性恋者"
quell,[kwel],v.镇压
query,[5kwiEri],"n.质问, 询问, 怀疑, 疑问//v.询问, 表示怀疑"
questioning,[`kwestFEniN],质问
quibble,[5kwibl],"n.双关语, 遁辞, 谬论//vi.以双关语说出, 说模棱两可的话, 说俏皮话//vt.对...诡辩"
quick at,[],于...很迅速
quickly,[5kwikli],adv.很快地
quiet,[5kwaiEt],"adj.静止的, 宁静的, 从容的//n.安静, 闲适//vi.平静下来//vt.使平静, 使安心, 减轻(疑虑、恐惧等).DOS命令：改变DOS系统提示符的风格"
quit,[kwit],"vi.离开, 辞职, 停止//vt.离开, 放弃, 解除, 停止"
quite,[kwait],"adv.相当, 完全, 十分, 彻底"
quiver,[5kwivE],"n.震动, 颤抖, 箭袋, 箭袋中的箭//vi.颤抖, 振动, 射中//vt.使颤动//adj.敏捷的"
quota,[5kwEutE],"n.配额, 限额"
rack,[rAk],"n.架, 行李架, 拷问台, 小步跑, 烧酒, 破坏//vt.放在架上, 在架上制作, 折磨, 加以拷问, 使痛苦, 榨取//vi.在饲草架装满干草, 变形, (云)随风飘, (马)小步跑"
radiant,[5reidjEnt],"adj.发光的, 辐射的, 容光焕发的"
radiate,[5reidieit],"vt.放射, 辐射, 传播, 广播//vi.发光, 辐射, 流露//adj.有射线的, 辐射状的"
radical,[5rAdikEl],"adj.根本的, 基本的, 激进的//n.激进分子"
radius,[5reidjEs],"n.半径, 范围, 辐射光线, 有效航程, 范围, 界限"
rage,[reidV],"n.愤怒, 情绪激动, 狂暴, 精神错乱//vi.大怒, 狂吹, 风行"
ragged,[5rAgid],adj.粗糙的
raid,[reid],"n.袭击, 搜捕//v.奇袭, 搜捕"
rain,[rein],"n.雨, 下雨, 雨天//vi.下雨//vt.使大量落下, 大量地给"
raise,[reiz],"n.上升, 高地, 提出//vt.升起, 唤起, 提高, 使出现, 解除, 饲养, 筹集, 使复活"
rally,[5rAli],"v.重整旗鼓, 给予新力量, (使)恢复健康, 力量, 决心, 集结//n.集会"
ramp,[rAmp],"n.斜坡, 坡道, 敲诈//vi.狂跳乱撞, 敲诈, 蔓延//vt.使有斜面, 敲诈"
rancor,[5rANkE(r)恨],"n.深仇, 怨恨"
rank,[rANk],"n.等级, 横列, 阶级//adj.繁茂的, 恶臭的, 讨厌的, 下流的//vt.排列, 归类于, 把...分等//vi.列为, 列队//n.[数] 秩"
ransom,[5rAnsEm],"n.敲诈, 勒索//vt.赎回, 勒索赎金"
rant,[rAnt],"v.咆哮, 激昂地说//n.咆哮, 激昂的演说"
rap,[rAp],"n.叩击, 轻拍, 轻敲, 斥责//vt.敲, 拍, 打, 厉声说出, 斥责, 使着迷//vi.敲击, 交谈//abbr.[军] Rocket Assisted Projectile, 火箭助推炮弹"
rapacious,[rE5peiFEs],"adj.掠夺的, 贪婪的"
rapture,[5rAptFE],"n.全神贯注, 兴高采烈, 欢天喜地//vt.使狂喜"
rarely,[5reEli],"adv.很少地, 罕有地"
rascal,[5rB:skEl],"n.流氓, 无赖, 坏蛋, 淘气鬼//adj.不诚实的, 卑鄙的, 下贱的"
rash,[rAF],"adj.轻率的, 匆忙的, 卤莽的//n.[医]皮疹"
rashly,[],"adv.轻率地, 无见识地"
ratify,[5rAtifai],"vt.批准, 认可"
ratio,[5reiFiEu],"n.比, 比率, [财政]复本位制中金银的法定比价"
ration,[5rAFEn],"n.定量, 配给量, 定量配给//v.配给, 分发, 实行定量配给"
rational,[5rAFEnl],"adj.理性的, 合理的, 推理的//n.[数]有理数"
ravage,[5rAvidV],"n.破坏, 蹂躏, 劫掠后的痕迹, 创伤//v.毁坏, 掠夺"
rave,[reiv],v.咆哮
ravenous,[5rAvinEs],"adj.贪婪的, 渴望的, 狼吞虎咽的"
ravish,[5rAviF],v.强夺
ray,[rei],"n.光线, 闪烁, 微量//vi.射出光线, 浮现, 放射光线//vt.放射, 显出"
raze,[reiz],v.夷为平地
read,[ri:d],"v.读, 阅读, 理解, 学习//adj.有学问的//n.读取//vbl.read的过去式和过去分词"
readily,[5redili],"adv.乐意地, 欣然, 容易地"
real estate,[],"n.房地产, 房地产所有权"
realistic painting,[],写实绘画
realize,[5riElaiz],"vt.认识到, 了解, 实现, 实行"
really,[5riEli],"adv.真正地, 实在地, (表语气)真的吗?"
realm,[relm],n.领域
reason,[5ri:zn],"n.理由, 原因, 动机, 理智, 前提//vt.说服, 推论, 辩论//vi.推论, 劝说, 思考"
reasonable,[5ri:znEbl],"adj.合理的, 有道理的, 通情达理的, 讲道理的"
rebate,[5ri:beit; ri5beit],"n.回扣, 折扣//vt.减少, 打折扣//vi.给...回扣, 打折扣"
rebel,[5rebEl],"n.造反者, 叛逆者, 反抗者, 叛乱者//adj.造反的, 叛逆的, 反抗的//v.造反, 反叛, 反抗, 叛乱"
rebellion,[ri5beljEn],"n.谋反, 叛乱, 反抗, 不服从"
rebuff,[ri5bQf],n.回绝//v.回绝
rebuke,[ri5bju:k],"n.指责, 谴责, 非难//vt.斥责, 指责, 非难, 成为对...的指摘"
rebut,[ri5bQt],v.反驳
recall,[ri5kC:l],"vt.回忆, 回想, 记起, 取消//n.召回"
recant,[ri5kAnt],v.放弃
recapitulate,[7ri:kE5pitjuleit],"v.重述要点, 概括, 摘要"
recede,[ri5si:d],v.后退
recently,[5ri:sEntli],adv.最近
reception,[ri5sepFEn],"n.接待, 招待会, 接收"
recipient,[ri5sipiEnt],"adj.容易接受的, 感受性强的//n.容纳者, 容器"
reciprocal,[ri5siprEkEl],"adj.互惠的, 相应的, 倒数的, 彼此相反的//n.倒数, 互相起作用的事物"
reckless,[5reklis],adj.不计后果的
recline,[ri5klain],v.放置
recluse,[ri5klu:s],"adj.隐遁的, 寂寞的//n.隐遁者, 寂寞者"
recognition,[7rekEg5niFEn],"n.赞誉, 承认, 重视, 公认, 赏识//识别"
recognize,[5rekEgnaiz],"vt.认可, 承认, 公认, 赏识//vi.具结"
recoil,[ri5kCil],"n.畏缩, 后退, 弹回, 反作用, 后座力//vi.退却, 畏缩, 弹回, 撤退, 反冲"
recollection,[7rekE5lekFEn],"n.回忆, 记忆, 回想"
recommend,[rekE5mend],"vt.推荐, 介绍, 劝告, 使受欢迎, 托付, 使...受欢迎, 使...可取"
recommended,[],被推荐的
recompense,[5rekEmpEns],v.报偿//n.报偿
reconcile,[5rekEnsail],"vt.使和解, 使和谐, 使顺从"
reconciliation,[7rekEnsili5eiFEn],"n.和解, 调和, 顺从"
recourse,[ri5kC:s],"n.求援, 求助, [商][律]追索权"
recover,[ri5kQvE],"vt.重新获得, 恢复, 使改过//vi.痊愈, 复原, 胜诉//n.DOS命令：从含有损坏磁盘扇区的磁盘上恢复文件"
recreation,[rekri5eiF(E)n],"n.消遣, 娱乐"
recruit,[ri5kru:t],"n.新兵, 新分子, 新会员//vt.使恢复, 补充, 征募//vi.征募新兵, 复原"
rectangle,[5rektANgl],"n.长方形, 矩形"
redeem,[ri5di:m],"vt.赎回, 挽回, 恢复, 补偿, 兑换"
redress,[ri5dres],"n.赔偿, 救济, 矫正//vt.纠正, 矫正, 赔偿, 救济, 重新穿衣, 重新调整, 重新敷裹"
reduction,[ri5dQkFEn],"n.减少, 缩影, 变形, 缩减量, 约简"
redundant,[ri5dQndEnt],adj.多余的
redwood,[5redwud],"n.<美>[植]红杉, 红木树, 红木树的木材"
reef,[ri:f],"n.暗礁, 收帆//v.收(帆)减量, 约简"
reek,[ri:k],"n.<主苏格兰>烟, 水蒸汽, 雾, 臭气//vi.冒烟, 发臭气, 散发//vt.用烟熏, 散发"
refer,[ri5fE:],"vt.提交, 谈及, 归诸于, 指点把...提交, 使求助于//vi.提到, 涉及, 查阅, 咨询"
refined,[ri5faind],"adj.精制的, 优雅的, 精确的"
reflection,[ri5flekFEn],"n.反射, 映象, 倒影, 反省, 沉思, 反映"
reform,[ri5fC:m],"n.改革, 改善, 改良运动, 感化//vt.改革, 革新, 重新组成//vi.革新, 改过, 重组"
refresh,[ri5freF],"v.(使)精神振作, (使)精力恢复, 更新"
refuge,[5refju:dV],"n.庇护, 避难, 避难所"
refund,[ri:5fQnd],"v.退还, 偿还//n.归还, 偿还额, 退款"
refuse,[ri5fju:z],"vt.拒绝, 谢绝//n.废物, 垃圾"
refute,[ri5fju:t],"vt.驳倒, 反驳"
regimen,[5redVimen],"n.摄生法, 政权, 政体"
register,[5redVistE],"n.记录, 登记簿, 登记, 注册, 寄存器//vt.记录, 登记, 注册, 提示, 把...挂号//vi.登记, 注册, 挂号"
regret,[ri5gret],"n.遗憾, 悔恨, 抱歉, 歉意//vt.为...感到遗憾, 后悔, 惋惜, 哀悼, 懊悔//vi.感到抱歉"
regretful,[ri5gretful],"adj.后悔的, 抱歉的, 惋惜的, 遗憾的"
regrettable,[ri5gretEbl],"adj.可叹的, 可惜的"
rehabilitate,[7ri:(h)E5biliteit],"v.使(身体)康复, 使复职, 使恢复名誉, 使复原"
rehearse,[ri5hE:s],"vt.预演, 排演, 使排练, 复述, 练习, 背诵, 作假//vi.排练, 练习, 演习"
reign,[rein],"vi.统治, 支配, 盛行, 占优势//n.统治, 统治时期, 支配"
reimburse,[7ri:im5bE:s],v.偿还
reinforce,[7ri:in5fC:s],"vt.加强, 增援, 补充, 增加...的数量, 修补, 加固//vi.求援, 得到增援//n.加固物"
reiterate,[ri:5itEreit],"vt.反复地说, 重申, 重做"
reject,[ri5dVekt],"n.被拒之人, 被弃之物, 不合格品, 落选者, 不及格者//vt.拒绝, 抵制, 否决, 呕出, 驳回, 丢弃"
relapse,[ri5lAps],"n.复发, 回复原状//vi.故态复萌, 旧病复发"
relax,[ri5lAks],"vi.放松, 休息, 休养, 变从容//vt.使松驰, 缓和, 使松懈, 使休息"
relegate,[5religeit],"v.转移, 归入, 提交"
relentless,[ri5lentlis],adj.无情的
relevant,[5relivEnt],"adj.有关的, 相应的"
reliable,[ri5laiEbl],"adj.可靠的, 可信赖的"
relics,[],崩溃
relieved,[ri5li:vd],放心的
religion,[ri5lidVEn],"n.宗教, 信仰"
relinquish,[ri5liNkwiF],v.放弃
reluctant,[ri5lQktEnt],"adj.不顾的, 勉强的, 难得到的, 难处理的"
remain,[ri5mein],"vi.保持, 逗留, 剩余, 残存"
remarkable,[ri5mB:kEbl],"adj.不平常的, 非凡的, 值得注意的, 显著的"
remedy,[5remidi],"n.药物, 治疗法, 补救, 赔偿//vt.治疗, 补救, 矫正, 修缮, 修补"
remember,[ri5membE],"vt.回忆起, 铭记, 纪念//vi.记得"
remind,[ri5maind],"vt.提醒, 使想起"
remit,[ri5mit],"vt.宽恕, 赦免, 免除, 缓和, 推迟, 汇出, 传送, 使复职//vi.缓和, 汇款//n.移交的事物"
remnant,[5remnEnt],"n.残余, 剩余, 零料, 残迹//adj.剩余的, 残留的"
remote,[ri5mEut],"adj.遥远的, 偏僻的, 细微的"
remove,[ri5mu:v],"vt.移动, 开除, 移交//vi.迁移, 搬家//n.移动, 距离, 班级, 升级"
remuneration,[ri7mju:nE5reiFEn],n.报酬
renaissance,[rE5neisEns],"n.复兴, 复活, 新生, 文艺复兴, 文艺复兴时期"
rend,[rend],v.撕碎
render,[5rendE],"vt.呈递, 归还, 着色, 汇报, 致使, 放弃, 表演, 实施//vi.给予补偿//n.交纳, 粉刷, 打底"
renounce,[ri5nauns],v.断绝关系
renovate,[5renEuveit],"vt.革新, 刷新, 修复"
renowned,[ri5naund],"adj.有名的, 有声誉的"
repeat,[ri5pi:t],"n.重复, 反复//vt.重做, 复述, 向他人转述, 复制, 使再现//vi.重复, 留有味道"
repel,[ri5pel],"vt.击退, 抵制, 使厌恶, 使不愉快"
replenish,[ri5pleniF],v.补充
report,[ri5pC:t],"n.报告, 传说, 谣言, 声誉, 名声, 爆炸声//v.报导, 汇报, 报到, 告发"
reproach,[ri5prEutF],v.责备
reproduction,[7ri:prE5dQkFEn],"n.繁殖, 再现, 复制品"
republic,[ri5pQblik],"n.共和国, 共和政体//adj.共和的"
repudiate,[ri5pju:dieit],v.批判
repulse,[ri5pQls],"v.拒绝, 排斥, 反驳, 击退, 憎恶//n.拒斥, 击退, 严拒"
repulsive,[ri5pQlsiv],"adj.推斥的, 排斥的, 严拒的, 令人厌恶的"
request,[ri5kwest],"vt.请求, 要求//n.请求, 要求, 邀请"
requested,[],被请求的
require,[ri5kwaiE],"vt.需要, 要求, 命令"
requital,[ri5kwaitl],n.偿还
rescue,[5reskju:],"vt.援救, 营救//n.援救, 营救"
resemblance,[ri5zemblEns],n.类同之处
resemble,[ri5zembl],"vt.象, 类似"
resent,[ri5zent],"v.愤恨, 怨恨"
reside,[ri5zaid],vi.居住
resident,[5rezidEnt],"n.居民//adj.居住的, 常驻的"
residue,[5rezidju:],"n.残余, 渣滓, 滤渣, 残数, 剩余物"
resist,[ri5zist],"vt.抵抗, 反抗, 抗, 忍得住"
resolute,[5rezElju:t],adj.坚决的
resolve,[ri5zClv],"n.决心//v.决心, 决定, 决心要, (使)分解, 溶解, 解决//vt.解决"
resolved,[ri5zClvd],"adj.下定决心的, 断然的"
resonance,[5rezEnEns],"n.共鸣, 回声, 反响, 中介, 谐振, 共振, 共振子, 极短命的不稳定基本粒子"
respectable,[ris5pektEbl],"adj.可敬的, 有名望的, 高尚的, 值得尊敬的"
respectful,[ris5pektful],"adj.恭敬的, 尊敬的, 尊重人的, 有礼貌的"
respective,[ris5pektiv],"adj.分别的, 各自的"
respiration,[7respi5reiFEn],"n.呼吸, 呼吸作用"
responsible,[ris5pCnsEbl],"adj.有责任的, 可靠的, 可依赖的, 负责的"
restore,[ris5tC:],"vt.恢复, 使回复, 归还, 交还, 修复, 重建"
restrain,[ris5trein],"vt.抑制, 制止"
restrict,[ris5trikt],"vt.限制, 约束, 限定"
resume,[ri5zju:m],"n.摘要, 概略, <美> 履历//vt.再继续, 重新开始, 重新占用, 再用, 恢复"
retain,[ri5tein],"vt.保持, 保留"
retard,[ri5tB:d],"vt.延迟, 使减速, 阻止, 妨碍, 阻碍"
retention,[ri5tenFEn],保持力
reticence,[5retisEns],n.沉默寡言
reticent,[5retisEnt],adj.沉默寡言的
retort,[ri5tC:t],"v.反驳, 反击, 回报//n.曲颈甑, 曲颈瓶, 蒸器"
retract,[ri5trAkt],"v.缩回, 缩进, 所卷(舌等), 收回, 取消, 撤消"
retribution,[7retri5bju:FEn],n.报偿
retrieve,[ri5tri:v],v.重新得到//n.找回
retrograde,[5retrEugreid],adj.倒退的//v.倒退
return,[ri5tE:n],"n.回来, 返回, 来回票, 利润, 回答//adj.返回的, 回程的, 报答的, 反向的, 重现的//vi.回返, 归还//vt.归还, 回报, 报告, 获得, 回答, 返回"
reveal,[ri5vi:l],"vt.展现, 显示, 揭示, 暴露"
revel,[5revl],v.狂欢//n.狂欢
revelation,[7revi5leiFEn],"n.显示, 揭露, 被揭露的事, 新发现, 启示, 揭示"
revenue,[5revinju:],"n.收入, 国家的收入, 税收"
reverberate,[ri5vE:bEreit],v.反响
revere,[ri5viE],"v.尊敬, 敬畏, 崇敬"
reverence,[5revErEns],"n.尊敬, 敬重, 敬礼, 尊严, 威望, 尊敬的...阁下//vt.崇敬, 敬畏, 尊敬"
revert,[ri5vE:t],v.回复
revile,[ri5vail],"v.辱骂, 斥责"
revise,[ri5vaiz],"vt.修订, 校订, 修正, 修改"
revive,[ri5vaiv],"v.(使)苏醒, (使)复兴, (使)复活, (使)再生效, 回想"
revoke,[ri5vEuk],"vt.撤回, 废除, 宣告无效//vi.n.有牌不跟"
revolution,[7revE5lu:FEn],"n.革命, 旋转"
riddle,[5ridl],"n.谜, 谜语, 神秘人物//v.解谜, 出谜, 迷惑"
ridiculous,[ri5dikjulEs],"adj.荒谬的, 可笑的"
right,[rait],"n.正义, 公正, 正确, 权利, 右边, 右派//adj.正当的, 正确的, 对的, 合适的, 恰当的, 健康的, 健全的, 正面的//adv.正当地, 正确地, 一直地, 直接地, 完全地, 彻底地, 在右边"
right angle,[],n.直角
rigid,[5ridVid],"adj.刚硬的, 刚性的, 严格的"
rigor,[5rigE],"n.严格, 严厉, 苛刻, 严密, 严酷, 精确"
rigorous,[5rigErEs],"adj.严格的, 严厉的, 严酷的, 严峻的"
rim,[rim],"n.边, 轮缘, 蓝框//vt.镶边, 为...装边, 沿...边缘滚动//vi.形成边状"
riot,[5raiEt],"n.暴乱, 骚动, (植物, 疾病等)蔓延, 放荡, 暴动//v.骚乱, 放纵, 挥霍, 参加骚动"
ripe,[raip],"adj.熟的, 成熟的, 时机成熟的//v.成熟"
risk,[risk],"vt.冒...的危险//n.冒险, 风险"
rite,[rait],"n.仪式, 典礼, 习俗, 惯例, 礼拜式, 教派"
ritual,[5ritjuEl],"n.典礼, (宗教)仪式, 礼节//adj.典礼的, (宗教)仪式的"
rivalry,[5raivElri],"n.竞争, 竞赛, 敌对, 敌对状态"
roam,[rEum],"v.漫游, 闲逛, 徜徉//n.漫步, 漫游, 徘徊"
robin,[5rCbin],n.[鸟]知更鸟
robust,[rE5bQst],adj.精力充沛的
rococo,[rE5kEukEu],"n.洛可可//adj.洛可可式的, 过分修饰的"
role,[rEul],"n.角色, 任务"
roll,[rEul],"adj.滚动, 滚转, (使)摇摆, (使)摇晃, 卷起, 卷拢//vt.辗, 轧//n.(一)卷, 卷形物, 摇晃, 摆动, 名单"
rot,[rCt],"v.(使)腐烂, (使)腐败//n.腐烂, 腐败"
rotten,[5rCtn],"adj.腐烂的, 恶臭的, 堕落的, (岩石等)风化的, 虚弱的, 无用的"
rough,[rQf],"adj.粗糙的, 粗略的, 大致的, 粗野的, 粗暴的, 粗略叙述的//v.大体描述//adv.粗糙地"
round,[raund],"n.圆, 圆形物, 巡回, 轮唱, [体]一轮//adj.圆的, 球形的, 丰满的, 大概的, 十足的, 完全的, 率直的, 肥胖的//prep.围着, 附近, 绕过, 在...周围//vt.弄圆, 使成圆形, 绕行, 完成, 围捕, 四舍五入//vi.变圆, 发胖, 环行, 拐弯, 进展//adv.围绕着, 循环地, 在周围, 迂回地, 朝反方向, 挨个"
routine,[ru:5ti:n],"n.例行公事, 常规, 日常事务, 程序"
rubbish,[5rQbiF],"n.垃圾, 废物, 废话"
rudimentary,[ru:di5mentEri],"adj.根本的, 未发展的"
ruffian,[5rQfjEn; -fiEn],"n.流氓, 恶棍, 无赖//adj.凶恶的, 残暴的, 无法无天的"
ruffle,[5rQfl],v.滋扰
rugged,[5rQgid],"adj.高低不平的, 崎岖的, 粗糙的, 有皱纹的"
ruinous,[5ruinEs; 5ru:i-],"adj.破坏性的, 招致毁灭的"
rumble,[5rQmbl],"v.隆隆声, 辘辘行驶, 低沉地说//n.隆隆声, 辘辘声, 吵嚷声"
ruminate,[5ru:mineit],"v.反刍, 沉思"
run,[rQn],"n.跑, 赛跑, 奔跑, 运转, 趋向//vi.跑, 奔, 逃跑, 竞选, 跑步, 蔓延, 进行, 行驶//vt.使跑, 参赛, 追究, 使流, 管理, 运行, 开动//adj.熔化的, 融化的, 浇铸的//vbl.run的过去式和过去分词"
rupture,[5rQptFE(r)? 断绝(关系等); 割裂n.破裂; 决裂; 敌对; 割裂],"v.破裂, 裂开, 断绝(关系等), 割裂//n.破裂, 决裂, 敌对, 割裂"
rust,[rQst],n.铁锈//vt.(使)生锈
rustic,[5rQstik],adj.乡村的
rusty,[`rQsti],"adj.生锈的, 迟钝的, 腐蚀了的, 铁锈色的, 生了锈的"
ruthless,[5ru:Wlis],"adj.无情的, 残忍的"
sable,[5seibl],"n.[动]紫貂, 黑貂, 黑貂皮, 丧服//adj.黑貂皮的, 黑的, 昏暗的"
sacred,[5seikrid],"adj.神的, 宗教的, 庄严的, 神圣的"
saddle,[5sAdl],"n.鞍, 鞍状物//v.承受"
sag,[sAg],"v.松弛, 下陷, 下垂, (物价)下跌, 漂流//n.下垂, 下陷, 物价下跌, 随风漂流, 垂度"
sagacious,[sE5geiFEs],"adj.有洞察力的, 有远见的, 精明的, 敏锐的"
sake,[seik],"n.为了...之好处, 出于对...的兴趣, 缘故, 理由, 日本米酒"
salutary,[5sAljutEri],adj.有益的
salvage,[5sAlvidV],"n.抢救财货, 获救的财货, 救难的奖金, 海上救助, 抢救, 打捞//vt.海上救助, 抢救, 打捞, 营救"
sample,[5sAmpl],"n.标本, 样品, 例子//vt.取样, 采样, 抽取...的样品, 试验的一部分, 尝试"
sand,[sAnd],"n.沙, 沙子,沙滩, 沙地//v.撒沙子"
sandstone,[5sAndstEun],n.[地] 沙岩
sane,[sein],adj.健全的
sanity,[5sAniti],n.心智健全
sapience,[`seipiEns;`sA-],n.贤明
sarcasm,[5sB:kAzEm],"n.挖苦, 讽刺"
sarcastic,[sB:5kAstik],adj.讽刺的
sardine,[sB:5di:n],n.[鱼]沙丁鱼
sardonic,[sB:5dCnik],adj.讽刺的
satiate,[5seiFieit],v.满足
satire,[5sAtaiE],"n.讽刺文学, 讽刺"
satirical,[sE5tirik(E)l],"adj.好讽刺的, 爱挖苦人的"
satisfactory,[7sAtis5fAktEri],"adj.满意的, 赎罪的"
satisfied,[`sAtisfaid],adj.感到满意的
saturate,[5sAtFEreit],"v.使饱和, 浸透, 使充满"
saturation,[7sAtFE5reiFEn],"n.饱和(状态), 浸润, 浸透//饱和度"
save,[seiv],"vt.解救, 保存, 保全, 保留, 节省, 储蓄//vi.挽救, 节省, 救球//prep.除...之外//n.救球"
savings,[5seiviNz],储蓄
savor,[5seivE],"n.滋味, 气味, 食欲, 特定的味道或气味, 一种有特色的性质//vi.有...的滋味, 有...气味//vt.加调味品于, 使有风味, 尝到或闻到, 尽情享受"
scale,[skeil],"n.刻度,衡量,比例,数值范围,比例尺,天平,等级//vt.依比例决定,攀登,测量//vi.剥落,生水垢,重,攀登,衡量"
scan,[skAn],"v.细看,审视,浏览,扫描//n.扫描"
scandal,[5skAndl],"n.丑行,丑闻,诽谤,耻辱,流言蜚语"
scandalous,[5skAndElEs],adj.诽谤性的
scanty,[5skAnti],"adj.缺乏的,不足的,稀疏的,俭省的,不充足的"
scarce,[skZEs],"adj.缺乏的, 不足的, 稀有的, 不充足的"
scare,[skZE],"v.惊吓, 受惊, 威吓//n.惊恐, 恐慌, 恐惧"
scathe,[skeiT],"n.危害, 损害, 损伤//vt.损伤, 损害, 伤害, 痛斥"
scatter,[5skAtE],"v.分散, 散开, 撒开, 驱散"
scatterbrain,[5skAtEbrein],n.注意力不集中的人
scenery,[5si:nEri],"n.风景, 景色"
schedule,[5Fedju:l; 5skedVjul],"n.时间表, 进度表//v.确定时间"
schism,[5sizEm],"n.(政治组织等的)分裂, 教派"
scholarship,[5skClEFip],"n.奖学金, 学问, 学识"
scoff,[skCf],"n.嘲笑, 嘲弄的话, 嘲弄的对象, 愚弄, 笑柄, 食品//v.轻蔑地说, 嘲笑, 嘲弄, 贪吃, 狼吞虎咽"
scoop,[sku:p],"n.铲子//v.掘, 挖"
scope,[skEup],"n.(活动)范围, 机会, 余地"
scorch,[skC:tF],"v.烧焦, 枯萎//n.烧焦, 焦痕, 枯黄"
scornful,[5skC:nful],adj.轻蔑的
scout,[skaut],"n.侦察, 搜索, 侦察员, 侦察机//vi.守候, 侦察, 巡视, 嘲笑//vt.侦察, 跟踪, 觅得, 监视, 轻蔑地拒绝(建议,意见等)?vt.使流出, 放出, 发"
scrap,[skrAp],"n.小片, 废料, 剪下来的图片, 文章, 残余物, 废料, 打架//vt.扔弃, 敲碎, 拆毁//vi.互相殴打//adj.零碎的, 废弃的"
scrape,[skreip],"n.刮, 擦, 擦痕, 刮擦声, 困境//vi.刮掉, 擦掉, 刮出刺耳声//vt.刮, 擦, 擦伤, 挖成"
scratch,[skrAtF],"n.乱写, 刮擦声, 抓痕, 擦伤//vt.乱涂, 勾抹掉, 擦, 刮, 搔, 抓, 挖出//vi.发刮擦声, 搔, 抓//adj.打草稿用的, 凑合的"
screed,[skri:d],"n.冗长的句子(文章), 样板, 泥水匠用的匀泥尺, 刮板"
screen,[skri:n],"n.屏, 银幕, 筛子, 掩蔽物, 屏风//vt.掩蔽, 包庇, 放映, 拍摄, 筛//vi.拍电影"
scribble,[5skribl],"n.潦草的写法, 潦草写成的东西, 杂文//v.潦草地写, 乱写, 滥写"
scrimp,[skrimp],"vt.过度缩减, 克扣//vi.节省或精打细算//adj.不足的, 吝啬的"
scripture,[5skriptFE],"n.手稿, 文件, [Scripture] 基督教(圣经), 经文"
scroll,[skrEul],"n.卷轴, 卷形物, 名册//v.(使)成卷形"
scrub,[skrQb],"v.洗擦, 擦净, 使(气体)净化, 擦洗//n.洗擦, 擦净, 擦洗者, 矮树, 灌木, 丛林地, 矮小的人(或动物)//adj.次等的, 矮小的, 临时凑合的"
scruple,[5skru:pl],"n.踌躇, 犹豫, 微量, 吩, 审慎//vi.踌躇, 有顾忌, 迟疑"
scrupulous,[5skru:pjulEs],"adj.小心谨慎的, 细心的"
scrutinize,[5skrutinaiz],细察
scrutiny,[5skru:tini],n.详细审查
scud,[skQd],"vi.迅速地移动或奔跑//n.飞奔, 飞云, 小阵雨, 碎雨云, 风吹起的浪或水花"
scuff,[skQf],"vi.拖足而行, 磨损//vt.以足擦地, 践踏, 使磨损//n.拖着脚走, 磨损之处"
scuffle,[5skQfl],v.混战//n.混战
sculpture,[5skQlptFE],"n.雕刻, 雕刻品, 雕塑, 雕塑品, [地理] 刻蚀//v.雕刻, 雕塑, 刻蚀"
scurry,[5skQri],"vi.急赶, 急跑, 急转, 以轻快而交替的步子走动//n.急赶, 急跑, 急转"
scuttle,[5skQtl],"n.天窗, 舱室小孔, 煤桶, 急速逃走//vi.急促地跑, 急忙撤退//vt.凿沉, 毁坏, 毁坏"
sea gull,[],n.[动] 海鸥
sear,[siE],"adj.烤焦的, 枯萎的//vt.烤焦, 使枯萎//vi.凋谢, 干枯"
search for,[],"v.搜查, 搜索"
seasoning,[5si:zniN],"n.调味品, 调料"
seclusion,[si5klu:VEn],n.隔离
second,[5sekEnd],"n.秒, 片刻, 第二者, 第二人, 助手, 次货, 二等品//adj.另一个, 又一个//num.第二//vt.赞成, 支持"
secretary,[5sekrEtri],"n.秘书, 书记, 部长, 大臣"
secretion,[si5kri:FEn],"n.分泌, 分泌物(液)"
sedate,[si 5deit],"adj.安静的, 稳重的//v.给...服镇静剂"
sediment,[5sedimEnt],"n.沉淀物, 沉积"
sedimentary rock,[],水成岩
see,[si:],"v.看, 看见, 了解, 领会, 注意, 留心, 经历, 阅历"
seek,[si:k],"v.寻找, 探索, 寻求"
seem,[si:m],"vi.象是, 似乎"
seeming,[5si:miN],adj.表面上的//n.外观
seethe,[si:T],v.沸腾
segment,[5segmEnt],"n.段, 节, 片断//v.分割"
segregate,[5segrigeit],v.隔离
seize,[si:z],"v.抓住, 逮住, 夺取//vt.没收, 查封"
selection,[si5lekFEn],"n.选择, 挑选, 选集, 精选品"
selfish,[5selfiF],adj.自私的
